homeownership,verified_income,income_band,emp_length_bucket,state,borrower_segment_id
MORTGAGE,Verified,High,1-2,NC,195
RENT,Source Verified,Low,3-5,CA,196
RENT,Source Verified,Low,6-10,CA,197
RENT,Not Verified,Upper-Mid,6-10,SC,198
RENT,Verified,Low,,AL,199
RENT,Source Verified,High,1-2,VA,200
MORTGAGE,Source Verified,Lower-Mid,6-10,CA,201
RENT,Source Verified,High,1-2,NC,202
RENT,Not Verified,Low,1-2,CA,203
MORTGAGE,Not Verified,Upper-Mid,6-10,CA,204
MORTGAGE,Not Verified,Upper-Mid,3-5,NJ,205
MORTGAGE,Source Verified,Lower-Mid,6-10,GA,206
RENT,Not Verified,Lower-Mid,3-5,NY,207
RENT,Not Verified,Low,3-5,WA,208
RENT,Not Verified,Upper-Mid,6-10,GA,209
RENT,Verified,High,6-10,MD,210
MORTGAGE,Source Verified,Low,,TX,211
MORTGAGE,Verified,High,1-2,MA,212
RENT,Not Verified,Upper-Mid,6-10,CA,213
OWN,Verified,Low,3-5,ME,214
RENT,Verified,Upper-Mid,1-2,NY,215
MORTGAGE,Source Verified,High,1-2,CA,216
OWN,Verified,Low,3-5,FL,217
RENT,Source Verified,Lower-Mid,0 or less,VT,218
RENT,Not Verified,Lower-Mid,6-10,NJ,219
RENT,Verified,Low,3-5,OR,220
OWN,Source Verified,Lower-Mid,6-10,TX,221
RENT,Verified,Low,1-2,ME,222
MORTGAGE,Not Verified,High,,MA,223
RENT,Not Verified,Lower-Mid,1-2,IL,224
OWN,Source Verified,High,1-2,CT,225
RENT,Source Verified,Low,,NE,226
RENT,Not Verified,Low,0 or less,OH,227
MORTGAGE,Not Verified,High,6-10,GA,228
RENT,Source Verified,Lower-Mid,3-5,FL,229
MORTGAGE,Source Verified,High,0 or less,NY,230
MORTGAGE,Verified,Upper-Mid,3-5,NY,231
RENT,Not Verified,Low,3-5,NY,232
MORTGAGE,Not Verified,High,,CA,233
OWN,Source Verified,Lower-Mid,,UT,234
OWN,Source Verified,High,1-2,FL,235
RENT,Source Verified,Upper-Mid,6-10,WA,236
RENT,Verified,High,6-10,NJ,237
MORTGAGE,Verified,Upper-Mid,6-10,MN,238
MORTGAGE,Verified,High,6-10,MA,239
OWN,Source Verified,Low,1-2,MI,240
MORTGAGE,Not Verified,Upper-Mid,6-10,IL,241
OWN,Verified,Lower-Mid,6-10,IL,242
OWN,Not Verified,Upper-Mid,3-5,PA,243
MORTGAGE,Verified,High,6-10,NC,244
RENT,Not Verified,Lower-Mid,6-10,OH,245
OWN,Not Verified,Upper-Mid,3-5,NY,246
MORTGAGE,Source Verified,High,6-10,KY,247
RENT,Not Verified,Upper-Mid,6-10,NM,248
MORTGAGE,Verified,Low,3-5,IN,249
MORTGAGE,Not Verified,Low,6-10,AZ,250
RENT,Not Verified,Lower-Mid,6-10,NY,251
MORTGAGE,Verified,Lower-Mid,1-2,MN,252
MORTGAGE,Not Verified,High,0 or less,KY,253
MORTGAGE,Source Verified,Low,3-5,VA,254
RENT,Source Verified,Low,,PA,255
RENT,Not Verified,Upper-Mid,6-10,MA,256
MORTGAGE,Verified,Low,,NJ,257
MORTGAGE,Not Verified,Lower-Mid,3-5,TX,258
RENT,Source Verified,Low,3-5,NY,259
RENT,Not Verified,Low,0 or less,FL,260
OWN,Verified,Lower-Mid,3-5,NY,261
RENT,Verified,Low,,TN,262
MORTGAGE,Not Verified,Upper-Mid,,CO,263
MORTGAGE,Source Verified,Upper-Mid,6-10,AL,264
MORTGAGE,Source Verified,Lower-Mid,6-10,WI,265
MORTGAGE,Not Verified,High,6-10,NY,266
RENT,Source Verified,Lower-Mid,1-2,GA,267
RENT,Not Verified,Lower-Mid,1-2,MN,268
MORTGAGE,Not Verified,Lower-Mid,6-10,PA,269
MORTGAGE,Source Verified,Upper-Mid,6-10,MD,270
RENT,Verified,Upper-Mid,6-10,GA,271
OWN,Not Verified,Low,1-2,NJ,272
MORTGAGE,Verified,Low,,CA,273
RENT,Not Verified,Lower-Mid,6-10,SC,274
MORTGAGE,Source Verified,Upper-Mid,3-5,TX,275
OWN,Verified,Low,3-5,CA,276
MORTGAGE,Verified,High,3-5,IL,277
RENT,Not Verified,Low,1-2,OH,278
RENT,Verified,Low,0 or less,CO,279
MORTGAGE,Verified,Lower-Mid,6-10,AK,280
MORTGAGE,Source Verified,Upper-Mid,6-10,KY,281
RENT,Source Verified,High,3-5,GA,282
MORTGAGE,Source Verified,Upper-Mid,6-10,CA,283
MORTGAGE,Not Verified,Upper-Mid,6-10,MS,284
RENT,Verified,Lower-Mid,6-10,MI,285
MORTGAGE,Not Verified,Upper-Mid,1-2,SC,286
MORTGAGE,Not Verified,High,6-10,NM,287
MORTGAGE,Not Verified,Upper-Mid,6-10,OK,288
MORTGAGE,Not Verified,High,6-10,DE,289
MORTGAGE,Not Verified,Low,,PA,290
MORTGAGE,Not Verified,Upper-Mid,6-10,NJ,291
MORTGAGE,Source Verified,High,6-10,NC,292
RENT,Source Verified,High,6-10,NY,293
RENT,Source Verified,Low,1-2,NY,294
RENT,Not Verified,Upper-Mid,0 or less,MA,295
RENT,Not Verified,High,3-5,CA,296
MORTGAGE,Source Verified,High,6-10,CT,297
RENT,Not Verified,Low,6-10,MN,298
MORTGAGE,Source Verified,High,6-10,NV,299
MORTGAGE,Source Verified,Lower-Mid,6-10,NY,300
MORTGAGE,Not Verified,Upper-Mid,1-2,NC,301
MORTGAGE,Source Verified,Low,6-10,GA,302
RENT,Not Verified,Upper-Mid,3-5,CA,303
MORTGAGE,Not Verified,Upper-Mid,6-10,FL,304
MORTGAGE,Source Verified,Upper-Mid,6-10,TX,305
RENT,Source Verified,Low,6-10,FL,306
MORTGAGE,Source Verified,Lower-Mid,0 or less,MO,307
MORTGAGE,Source Verified,High,6-10,MA,308
RENT,Verified,High,6-10,CO,309
MORTGAGE,Not Verified,High,1-2,NH,310
MORTGAGE,Not Verified,Upper-Mid,6-10,PA,311
MORTGAGE,Verified,Upper-Mid,6-10,VT,312
MORTGAGE,Source Verified,Lower-Mid,6-10,MI,313
MORTGAGE,Verified,High,6-10,AZ,314
RENT,Not Verified,High,6-10,WA,315
RENT,Source Verified,High,6-10,MA,316
MORTGAGE,Verified,Upper-Mid,1-2,CA,317
OWN,Source Verified,Upper-Mid,1-2,CA,318
RENT,Not Verified,High,6-10,CA,319
MORTGAGE,Source Verified,High,3-5,NJ,320
MORTGAGE,Verified,Upper-Mid,1-2,MN,321
MORTGAGE,Not Verified,Upper-Mid,6-10,GA,322
RENT,Verified,High,3-5,UT,323
MORTGAGE,Verified,Low,6-10,VA,324
RENT,Verified,Low,1-2,WA,325
MORTGAGE,Verified,High,6-10,TX,326
OWN,Source Verified,Upper-Mid,6-10,NJ,327
RENT,Not Verified,Low,1-2,OR,328
RENT,Not Verified,Lower-Mid,6-10,VA,329
MORTGAGE,Not Verified,High,6-10,IL,330
MORTGAGE,Source Verified,Upper-Mid,6-10,FL,331
MORTGAGE,Source Verified,High,3-5,AZ,332
OWN,Not Verified,Lower-Mid,6-10,GA,333
OWN,Not Verified,Upper-Mid,1-2,MI,334
RENT,Verified,Lower-Mid,1-2,CA,335
MORTGAGE,Not Verified,Lower-Mid,,MD,336
RENT,Not Verified,Upper-Mid,0 or less,FL,337
MORTGAGE,Source Verified,Lower-Mid,6-10,OH,338
RENT,Not Verified,Lower-Mid,1-2,IN,339
RENT,Verified,Lower-Mid,3-5,MI,340
MORTGAGE,Source Verified,Upper-Mid,6-10,MA,341
MORTGAGE,Not Verified,High,3-5,IL,342
MORTGAGE,Source Verified,Upper-Mid,6-10,TN,343
RENT,Not Verified,Low,1-2,AK,344
OWN,Verified,Lower-Mid,6-10,AL,345
MORTGAGE,Verified,Low,,OH,346
RENT,Source Verified,Low,1-2,CO,347
MORTGAGE,Source Verified,Low,6-10,AL,348
RENT,Not Verified,Lower-Mid,3-5,NE,349
RENT,Source Verified,Lower-Mid,1-2,CT,350
OWN,Verified,Low,6-10,WA,351
MORTGAGE,Not Verified,High,0 or less,FL,352
RENT,Not Verified,Lower-Mid,1-2,NJ,353
RENT,Not Verified,Upper-Mid,3-5,FL,354
MORTGAGE,Not Verified,High,6-10,FL,355
OWN,Verified,High,6-10,FL,356
OWN,Not Verified,Upper-Mid,6-10,GA,357
MORTGAGE,Not Verified,Upper-Mid,6-10,AZ,358
OWN,Source Verified,Low,,MI,359
RENT,Source Verified,Upper-Mid,3-5,VA,360
RENT,Not Verified,Lower-Mid,0 or less,CA,361
MORTGAGE,Not Verified,Lower-Mid,0 or less,CO,362
MORTGAGE,Not Verified,Upper-Mid,3-5,IN,363
RENT,Source Verified,High,3-5,MA,364
RENT,Source Verified,Upper-Mid,6-10,NY,365
RENT,Verified,Low,,MD,366
RENT,Source Verified,Low,1-2,AZ,367
RENT,Not Verified,Upper-Mid,1-2,MS,368
RENT,Source Verified,Low,6-10,AL,369
MORTGAGE,Source Verified,Lower-Mid,6-10,NC,370
RENT,Not Verified,High,1-2,MN,371
MORTGAGE,Not Verified,Upper-Mid,6-10,TX,372
RENT,Source Verified,Lower-Mid,3-5,CA,373
RENT,Source Verified,Low,6-10,NY,374
MORTGAGE,Source Verified,Low,1-2,CT,375
MORTGAGE,Verified,Low,,IL,376
MORTGAGE,Verified,Upper-Mid,3-5,GA,377
MORTGAGE,Verified,Low,6-10,CA,378
RENT,Verified,Upper-Mid,,CA,379
MORTGAGE,Source Verified,Low,1-2,GA,380
RENT,Not Verified,Lower-Mid,,NJ,381
RENT,Not Verified,Low,3-5,VA,382
MORTGAGE,Verified,Lower-Mid,6-10,NJ,383
RENT,Not Verified,Low,0 or less,MI,384
MORTGAGE,Source Verified,Upper-Mid,6-10,IL,385
OWN,Source Verified,Upper-Mid,6-10,TN,386
OWN,Verified,Low,,UT,387
MORTGAGE,Not Verified,Upper-Mid,6-10,WA,388
RENT,Not Verified,Low,3-5,AL,389
RENT,Verified,High,6-10,IL,390
OWN,Source Verified,Low,6-10,FL,391
OWN,Not Verified,Low,,LA,392
RENT,Verified,Low,6-10,MI,393
MORTGAGE,Verified,Lower-Mid,6-10,CA,394
OWN,Not Verified,Low,0 or less,MI,395
RENT,Not Verified,Upper-Mid,1-2,TX,396
MORTGAGE,Verified,Lower-Mid,6-10,MT,397
RENT,Source Verified,High,3-5,NY,398
RENT,Source Verified,Low,3-5,ME,399
MORTGAGE,Not Verified,Upper-Mid,6-10,OR,400
RENT,Verified,Upper-Mid,0 or less,GA,401
RENT,Source Verified,Lower-Mid,0 or less,MD,402
RENT,Source Verified,Lower-Mid,1-2,PA,403
MORTGAGE,Source Verified,Lower-Mid,6-10,LA,404
MORTGAGE,Verified,Upper-Mid,3-5,CA,405
RENT,Source Verified,Lower-Mid,0 or less,MN,406
MORTGAGE,Verified,Upper-Mid,6-10,AL,407
RENT,Not Verified,Upper-Mid,6-10,NY,408
RENT,Source Verified,High,6-10,LA,409
MORTGAGE,Not Verified,Low,6-10,WI,410
RENT,Verified,Low,3-5,IL,411
RENT,Source Verified,Low,,CA,412
MORTGAGE,Not Verified,Upper-Mid,3-5,NV,413
OWN,Verified,Upper-Mid,6-10,LA,414
MORTGAGE,Not Verified,Upper-Mid,6-10,CT,415
MORTGAGE,Not Verified,Low,6-10,WA,416
RENT,Verified,Upper-Mid,3-5,CO,417
RENT,Source Verified,Low,1-2,OR,418
RENT,Verified,Upper-Mid,,AZ,419
RENT,Source Verified,High,1-2,NJ,420
MORTGAGE,Not Verified,Upper-Mid,3-5,FL,421
RENT,Not Verified,Lower-Mid,6-10,WI,422
RENT,Source Verified,Low,1-2,MI,423
OWN,Not Verified,Low,1-2,AR,424
RENT,Not Verified,Low,0 or less,CA,425
MORTGAGE,Verified,Low,1-2,AZ,426
RENT,Not Verified,Upper-Mid,6-10,NC,427
RENT,Source Verified,Upper-Mid,1-2,FL,428
MORTGAGE,Source Verified,Low,,IL,429
MORTGAGE,Source Verified,High,6-10,FL,430
RENT,Not Verified,Upper-Mid,6-10,CO,431
MORTGAGE,Source Verified,Lower-Mid,6-10,IN,432
MORTGAGE,Not Verified,Lower-Mid,3-5,CT,433
MORTGAGE,Verified,Low,6-10,AR,434
MORTGAGE,Source Verified,Upper-Mid,6-10,AK,435
MORTGAGE,Source Verified,High,6-10,PA,436
OWN,Not Verified,High,1-2,TN,437
OWN,Not Verified,Lower-Mid,6-10,FL,438
MORTGAGE,Source Verified,Low,6-10,IN,439
OWN,Not Verified,Low,6-10,OH,440
RENT,Verified,Low,1-2,NY,441
MORTGAGE,Not Verified,Low,3-5,SC,442
MORTGAGE,Source Verified,Upper-Mid,6-10,MI,443
MORTGAGE,Verified,Lower-Mid,3-5,MN,444
RENT,Not Verified,Lower-Mid,6-10,AR,445
MORTGAGE,Source Verified,Upper-Mid,1-2,MD,446
MORTGAGE,Not Verified,Upper-Mid,6-10,VA,447
RENT,Source Verified,Upper-Mid,3-5,NJ,448
RENT,Not Verified,Upper-Mid,3-5,CT,449
MORTGAGE,Not Verified,Upper-Mid,6-10,UT,450
MORTGAGE,Source Verified,Lower-Mid,6-10,SC,451
RENT,Not Verified,Lower-Mid,3-5,CA,452
MORTGAGE,Source Verified,Low,1-2,WA,453
MORTGAGE,Verified,Low,3-5,CT,454
MORTGAGE,Not Verified,Upper-Mid,6-10,OH,455
RENT,Source Verified,Lower-Mid,3-5,NC,456
OWN,Not Verified,Low,,OH,457
OWN,Source Verified,Upper-Mid,3-5,LA,458
MORTGAGE,Verified,Low,6-10,CO,459
RENT,Not Verified,Lower-Mid,1-2,NY,460
RENT,Verified,Lower-Mid,3-5,AL,461
RENT,Verified,Low,3-5,MD,462
RENT,Source Verified,High,3-5,IL,463
MORTGAGE,Verified,Low,1-2,OK,464
RENT,Not Verified,Low,,CA,465
OWN,Source Verified,High,6-10,MD,466
MORTGAGE,Verified,Low,6-10,MI,467
RENT,Source Verified,Upper-Mid,3-5,OK,468
MORTGAGE,Source Verified,High,3-5,FL,469
RENT,Source Verified,Lower-Mid,1-2,NJ,470
RENT,Not Verified,Lower-Mid,6-10,KS,471
RENT,Verified,Upper-Mid,6-10,TX,472
MORTGAGE,Verified,Lower-Mid,6-10,NY,473
MORTGAGE,Source Verified,High,6-10,NJ,474
OWN,Not Verified,Upper-Mid,,CA,475
OWN,Verified,Upper-Mid,6-10,FL,476
RENT,Source Verified,Upper-Mid,3-5,NY,477
RENT,Source Verified,High,3-5,VA,478
MORTGAGE,Verified,High,1-2,OR,479
MORTGAGE,Not Verified,High,1-2,NC,480
RENT,Verified,Lower-Mid,6-10,NY,481
MORTGAGE,Verified,High,6-10,OH,482
OWN,Source Verified,Low,1-2,WI,483
OWN,Not Verified,Lower-Mid,3-5,KY,484
OWN,Source Verified,High,6-10,NY,485
OWN,Not Verified,High,6-10,NY,486
RENT,Source Verified,High,3-5,OH,487
MORTGAGE,Source Verified,Lower-Mid,6-10,CT,488
OWN,Source Verified,Low,,MS,489
MORTGAGE,Not Verified,Lower-Mid,1-2,WA,490
MORTGAGE,Not Verified,Upper-Mid,6-10,NY,491
RENT,Verified,Low,6-10,MS,492
MORTGAGE,Not Verified,High,1-2,CA,493
MORTGAGE,Not Verified,Low,3-5,AK,494
MORTGAGE,Verified,High,0 or less,SC,495
RENT,Source Verified,Low,1-2,NJ,496
MORTGAGE,Verified,Lower-Mid,3-5,CA,497
RENT,Source Verified,Lower-Mid,0 or less,GA,498
RENT,Source Verified,High,6-10,GA,499
MORTGAGE,Not Verified,Upper-Mid,0 or less,MI,500
MORTGAGE,Verified,High,6-10,TN,501
MORTGAGE,Not Verified,Low,,GA,502
RENT,Verified,Lower-Mid,6-10,TX,503
RENT,Source Verified,Lower-Mid,6-10,NY,504
OWN,Not Verified,Low,3-5,OH,505
MORTGAGE,Source Verified,Upper-Mid,3-5,WA,506
RENT,Source Verified,Lower-Mid,3-5,MN,507
OWN,Source Verified,Low,1-2,NY,508
MORTGAGE,Not Verified,High,3-5,OH,509
RENT,Not Verified,Lower-Mid,6-10,MA,510
MORTGAGE,Source Verified,Lower-Mid,3-5,FL,511
RENT,Source Verified,High,6-10,VA,512
OWN,Not Verified,High,6-10,KY,513
RENT,Source Verified,Lower-Mid,3-5,OH,514
RENT,Not Verified,Upper-Mid,1-2,CA,515
OWN,Source Verified,High,3-5,PA,516
RENT,Not Verified,Low,,MS,517
RENT,Verified,High,6-10,TX,518
OWN,Source Verified,Lower-Mid,1-2,LA,519
MORTGAGE,Not Verified,High,6-10,AZ,520
RENT,Verified,Upper-Mid,6-10,FL,521
MORTGAGE,Source Verified,Upper-Mid,6-10,IN,522
RENT,Not Verified,Lower-Mid,1-2,NC,523
MORTGAGE,Verified,Upper-Mid,1-2,NJ,524
MORTGAGE,Verified,Low,3-5,FL,525
MORTGAGE,Source Verified,Upper-Mid,1-2,RI,526
OWN,Not Verified,High,6-10,TX,527
RENT,Not Verified,High,1-2,WA,528
RENT,Verified,Low,3-5,CA,529
RENT,Not Verified,Upper-Mid,0 or less,NJ,530
RENT,Not Verified,Upper-Mid,1-2,IL,531
MORTGAGE,Verified,Upper-Mid,3-5,MN,532
MORTGAGE,Verified,Low,6-10,NY,533
MORTGAGE,Not Verified,Upper-Mid,6-10,KS,534
RENT,Not Verified,Upper-Mid,0 or less,NC,535
MORTGAGE,Verified,Low,3-5,TX,536
MORTGAGE,Source Verified,Lower-Mid,6-10,NE,537
MORTGAGE,Not Verified,Upper-Mid,3-5,CA,538
OWN,Not Verified,Low,6-10,LA,539
RENT,Verified,Low,6-10,MO,540
OWN,Not Verified,High,6-10,NJ,541
MORTGAGE,Source Verified,High,3-5,PA,542
MORTGAGE,Source Verified,High,6-10,OH,543
RENT,Verified,Low,,CA,544
MORTGAGE,Verified,High,6-10,NJ,545
RENT,Not Verified,Low,,AZ,546
