issue_month_start,loan_amount,interest_rate,installment,balance,loan_status,high_risk_flag,behavioral_risk_flag,risk_band,income_band,emp_length_bucket,term,term_bucket,loan_purpose,grade,sub_grade,homeownership,verified_income,debt_to_income,unemployment_rate,cpi_inflation_proxy,fed_funds_rate_avg
2018-01-01,20000.0,15.05,476.33,0.0,Fully Paid,0,1,Medium,Upper-Mid,1-2,60,60,debt_consolidation,C,C4,MORTGAGE,Source Verified,18.44,4.0,0.5447745452775409,1.414516129032258
2018-01-01,7000.0,6.08,213.21,6102.23,Current,0,0,Low,Lower-Mid,6-10,36,36,credit_card,A,A2,MORTGAGE,Not Verified,15.6,4.0,0.5447745452775409,1.414516129032258
2018-03-01,10000.0,11.98,332.05,9296.37,Current,0,1,Low,Low,1-2,36,36,credit_card,B,B5,MORTGAGE,Source Verified,32.0,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,21050.0,13.59,485.34,20045.3,Current,0,0,Medium,High,3-5,60,60,debt_consolidation,C,C2,MORTGAGE,Not Verified,26.53,4.1,0.45346899748655,1.4175
2018-03-01,3500.0,6.71,107.61,3323.42,Current,0,0,Low,Low,,36,36,home_improvement,A,A3,MORTGAGE,Verified,7.27,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,8000.0,7.96,250.55,7403.61,Current,0,0,Low,Upper-Mid,6-10,36,36,credit_card,A,A5,RENT,Not Verified,17.31,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,18000.0,12.61,405.98,17342.65,Current,0,0,Medium,Lower-Mid,6-10,60,60,debt_consolidation,C,C1,MORTGAGE,Source Verified,14.42,4.1,0.45346899748655,1.4175
2018-03-01,10000.0,11.98,332.05,9432.28,Current,0,0,Low,Lower-Mid,1-2,36,36,credit_card,B,B5,RENT,Source Verified,13.68,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,3200.0,7.34,99.31,2557.44,Current,0,0,Low,Low,3-5,36,36,debt_consolidation,A,A4,RENT,Not Verified,19.38,4.1,0.45346899748655,1.4175
2018-01-01,10000.0,5.32,301.15,8704.48,Current,0,0,Low,Lower-Mid,3-5,36,36,debt_consolidation,A,A1,RENT,Not Verified,11.0,4.0,0.5447745452775409,1.414516129032258
2018-03-01,6000.0,6.07,182.73,5540.54,Current,0,0,Low,Lower-Mid,3-5,36,36,house,A,A2,MORTGAGE,Source Verified,2.88,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,12000.0,12.62,402.14,10878.71,Current,0,0,Medium,High,3-5,36,36,debt_consolidation,C,C1,MORTGAGE,Verified,26.25,4.1,0.45346899748655,1.4175
2018-02-01,40000.0,9.44,838.91,37878.15,Current,0,0,Low,High,3-5,60,60,debt_consolidation,B,B1,MORTGAGE,Source Verified,24.9,4.1,0.45346899748655,1.4175
2018-02-01,19000.0,19.03,493.19,18214.02,Current,1,0,High,Lower-Mid,6-10,60,60,credit_card,D,D3,MORTGAGE,Verified,36.75,4.1,0.45346899748655,1.4175
2018-03-01,28000.0,20.39,747.92,27169.59,Current,1,0,High,Upper-Mid,3-5,60,60,debt_consolidation,D,D4,MORTGAGE,Source Verified,28.3,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,15000.0,9.93,318.19,0.0,Fully Paid,0,0,Low,High,6-10,60,60,debt_consolidation,B,B2,MORTGAGE,Not Verified,13.82,4.0,0.5447745452775409,1.414516129032258
2018-01-01,2400.0,6.08,73.1,0.0,Fully Paid,0,0,Low,Upper-Mid,1-2,36,36,small_business,A,A2,OWN,Source Verified,0.0,4.0,0.5447745452775409,1.414516129032258
2018-01-01,10000.0,21.45,379.07,8961.95,Current,1,0,High,Low,1-2,36,36,debt_consolidation,D,D5,RENT,Source Verified,10.59,4.0,0.5447745452775409,1.414516129032258
2018-03-01,24000.0,15.04,571.47,23455.27,In Grace Period,0,0,Medium,Upper-Mid,6-10,60,60,car,C,C4,MORTGAGE,Verified,17.06,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,9500.0,10.42,308.42,8350.57,Current,0,0,Low,Upper-Mid,1-2,36,36,other,B,B3,RENT,Not Verified,18.53,4.0,0.5447745452775409,1.414516129032258
2018-02-01,30000.0,12.61,1005.2,27196.39,Current,0,0,Medium,Lower-Mid,1-2,36,36,other,C,C1,RENT,Source Verified,7.1,4.1,0.45346899748655,1.4175
2018-01-01,10000.0,18.06,254.27,9465.3,Current,1,1,High,Low,,60,60,other,D,D2,MORTGAGE,Not Verified,24.79,4.0,0.5447745452775409,1.414516129032258
2018-02-01,15000.0,11.99,333.6,14254.01,Current,0,0,Low,Upper-Mid,3-5,60,60,moving,B,B5,RENT,Source Verified,15.72,4.1,0.45346899748655,1.4175
2018-01-01,35000.0,15.05,833.57,33391.61,Current,0,0,Medium,Upper-Mid,6-10,60,60,debt_consolidation,C,C4,RENT,Source Verified,14.82,4.0,0.5447745452775409,1.414516129032258
2018-02-01,10000.0,15.05,346.9,9097.26,Current,0,0,Medium,Low,1-2,36,36,credit_card,C,C4,RENT,Source Verified,25.89,4.1,0.45346899748655,1.4175
2018-02-01,40000.0,12.62,902.37,38042.58,Current,0,0,Medium,High,3-5,60,60,home_improvement,C,C1,MORTGAGE,Source Verified,13.51,4.1,0.45346899748655,1.4175
2018-01-01,15000.0,6.72,461.24,13092.56,Current,0,1,Low,Upper-Mid,6-10,36,36,debt_consolidation,A,A3,OWN,Not Verified,10.71,4.0,0.5447745452775409,1.414516129032258
2018-03-01,20000.0,6.71,614.9,18991.05,Current,0,0,Low,High,1-2,36,36,debt_consolidation,A,A3,MORTGAGE,Not Verified,2.68,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,4500.0,15.05,156.11,4093.75,Current,0,0,Medium,Low,0 or less,36,36,debt_consolidation,C,C4,RENT,Verified,25.7,4.1,0.45346899748655,1.4175
2018-01-01,16000.0,9.93,339.41,14947.68,Current,0,0,Low,Low,1-2,60,60,car,B,B2,RENT,Not Verified,3.64,4.0,0.5447745452775409,1.414516129032258
2018-01-01,10000.0,10.42,324.65,9036.27,Current,0,0,Low,Upper-Mid,6-10,36,36,credit_card,B,B3,MORTGAGE,Source Verified,17.24,4.0,0.5447745452775409,1.414516129032258
2018-02-01,20000.0,22.91,562.78,19255.22,Current,1,0,High,High,1-2,60,60,debt_consolidation,E,E1,MORTGAGE,Verified,18.72,4.1,0.45346899748655,1.4175
2018-01-01,20600.0,30.79,676.52,19821.53,Current,1,0,High,High,6-10,60,60,debt_consolidation,G,G1,RENT,Not Verified,19.64,4.0,0.5447745452775409,1.414516129032258
2018-02-01,35000.0,15.05,833.57,33396.01,Current,0,0,Medium,High,1-2,60,60,major_purchase,C,C4,RENT,Source Verified,9.12,4.1,0.45346899748655,1.4175
2018-03-01,10000.0,6.07,304.54,9234.27,Current,0,0,Low,Upper-Mid,6-10,36,36,debt_consolidation,A,A2,MORTGAGE,Source Verified,22.91,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,12000.0,6.07,365.45,11081.12,Current,0,0,Low,Upper-Mid,3-5,36,36,debt_consolidation,A,A2,MORTGAGE,Not Verified,21.41,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,1925.0,17.47,69.09,1842.26,Current,1,0,High,Low,,36,36,debt_consolidation,D,D1,OWN,Source Verified,13.05,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,15000.0,7.34,465.5,13871.88,Current,0,0,Low,Upper-Mid,6-10,36,36,house,A,A4,MORTGAGE,Verified,20.16,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,20000.0,13.59,679.58,18156.66,Current,0,1,Medium,Upper-Mid,6-10,36,36,debt_consolidation,C,C2,MORTGAGE,Verified,39.08,4.1,0.45346899748655,1.4175
2018-01-01,6000.0,6.72,184.5,5391.31,Current,0,0,Low,Upper-Mid,,36,36,debt_consolidation,A,A3,MORTGAGE,Not Verified,14.62,4.0,0.5447745452775409,1.414516129032258
2018-02-01,10000.0,5.31,301.11,8965.72,Current,0,0,Low,High,6-10,36,36,debt_consolidation,A,A1,RENT,Not Verified,11.64,4.1,0.45346899748655,1.4175
2018-01-01,25000.0,9.93,805.86,21955.1,Current,0,1,Low,Lower-Mid,6-10,36,36,debt_consolidation,B,B2,MORTGAGE,Verified,12.15,4.0,0.5447745452775409,1.414516129032258
2018-03-01,10000.0,9.92,322.3,9275.14,Current,0,0,Low,Lower-Mid,6-10,36,36,debt_consolidation,B,B2,OWN,Source Verified,12.58,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,6000.0,9.93,193.41,5417.78,Current,0,0,Low,High,1-2,36,36,debt_consolidation,B,B2,RENT,Not Verified,16.73,4.1,0.45346899748655,1.4175
2018-03-01,20000.0,14.07,466.1,19297.02,Current,0,1,Medium,High,6-10,60,60,credit_card,C,C3,MORTGAGE,Verified,28.13,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,15000.0,7.97,469.84,13504.32,Current,0,0,Low,High,6-10,36,36,medical,A,A5,MORTGAGE,Source Verified,7.89,4.1,0.45346899748655,1.4175
2018-03-01,20000.0,5.31,602.21,18452.04,Current,0,0,Low,Upper-Mid,0 or less,36,36,debt_consolidation,A,A1,MORTGAGE,Not Verified,15.42,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,10500.0,9.93,222.74,9949.81,Current,0,0,Low,Low,6-10,60,60,debt_consolidation,B,B2,MORTGAGE,Not Verified,32.4,4.1,0.45346899748655,1.4175
2018-01-01,11400.0,14.08,265.74,10862.71,Current,0,1,Medium,Lower-Mid,3-5,60,60,credit_card,C,C3,MORTGAGE,Source Verified,17.28,4.0,0.5447745452775409,1.414516129032258
2018-03-01,5500.0,12.61,184.29,5116.52,Current,0,0,Medium,Upper-Mid,3-5,36,36,car,C,C1,MORTGAGE,Not Verified,32.06,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,5000.0,12.62,167.56,4412.9,Current,0,0,Medium,Low,0 or less,36,36,debt_consolidation,C,C1,RENT,Source Verified,3.7,4.0,0.5447745452775409,1.414516129032258
2018-03-01,9600.0,17.47,344.52,8976.73,Current,1,0,High,Low,,36,36,other,D,D1,OWN,Source Verified,22.09,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,15000.0,12.62,502.67,13238.74,Current,0,0,Medium,Low,0 or less,36,36,other,C,C1,RENT,Source Verified,16.26,4.0,0.5447745452775409,1.414516129032258
2018-03-01,10000.0,6.71,307.45,9241.17,Current,0,0,Low,Lower-Mid,3-5,36,36,debt_consolidation,A,A3,RENT,Source Verified,8.72,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,10450.0,19.42,273.5,9609.03,Current,1,0,High,Low,3-5,60,60,major_purchase,D,D3,RENT,Source Verified,16.3,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,7200.0,12.62,241.29,6527.2,Current,0,0,Medium,Upper-Mid,1-2,36,36,credit_card,C,C1,MORTGAGE,Source Verified,16.04,4.1,0.45346899748655,1.4175
2018-01-01,35000.0,14.08,815.85,32925.97,Current,0,0,Medium,Low,6-10,60,60,debt_consolidation,C,C3,MORTGAGE,Not Verified,28.42,4.0,0.5447745452775409,1.414516129032258
2018-01-01,4200.0,10.91,137.33,3695.17,Current,0,0,Low,Low,,36,36,debt_consolidation,B,B4,RENT,Verified,21.94,4.0,0.5447745452775409,1.414516129032258
2018-02-01,2400.0,17.47,86.13,2244.18,Current,1,0,High,Lower-Mid,0 or less,36,36,other,D,D1,RENT,Verified,19.22,4.1,0.45346899748655,1.4175
2018-01-01,12800.0,18.06,463.14,11693.32,Current,1,0,High,Low,6-10,36,36,credit_card,D,D2,MORTGAGE,Verified,37.74,4.0,0.5447745452775409,1.414516129032258
2018-01-01,8000.0,16.02,281.34,7103.69,Current,0,1,Medium,Low,3-5,36,36,other,C,C5,MORTGAGE,Verified,15.44,4.0,0.5447745452775409,1.414516129032258
2018-02-01,30000.0,19.03,1100.14,27442.4,Current,1,0,High,Upper-Mid,0 or less,36,36,debt_consolidation,D,D3,MORTGAGE,Verified,18.39,4.1,0.45346899748655,1.4175
2018-01-01,7000.0,12.62,234.58,6178.08,Current,0,1,Medium,Upper-Mid,1-2,36,36,debt_consolidation,C,C1,MORTGAGE,Source Verified,27.23,4.0,0.5447745452775409,1.414516129032258
2018-02-01,25000.0,6.07,761.35,22441.1,Current,0,0,Low,High,6-10,36,36,other,A,A2,MORTGAGE,Source Verified,11.14,4.1,0.45346899748655,1.4175
2018-03-01,40000.0,9.43,838.71,37877.63,Current,0,0,Low,Low,6-10,60,60,home_improvement,B,B1,MORTGAGE,Source Verified,1.56,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,24000.0,10.42,514.91,22440.6,Current,0,0,Low,Upper-Mid,6-10,60,60,debt_consolidation,B,B3,MORTGAGE,Verified,17.44,4.0,0.5447745452775409,1.414516129032258
2018-03-01,5000.0,7.96,156.59,4627.27,Current,0,1,Low,Upper-Mid,6-10,36,36,debt_consolidation,A,A5,OWN,Not Verified,11.45,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,40000.0,13.59,922.25,37600.0,Current,0,0,Medium,High,6-10,60,60,small_business,C,C2,MORTGAGE,Not Verified,21.09,4.0,0.5447745452775409,1.414516129032258
2018-03-01,15000.0,15.04,357.17,14486.1,Current,0,0,Medium,Lower-Mid,1-2,60,60,credit_card,C,C4,MORTGAGE,Source Verified,34.86,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,5000.0,12.61,167.54,4651.37,Current,0,0,Medium,Low,3-5,36,36,home_improvement,C,C1,OWN,Source Verified,13.77,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,7000.0,7.96,219.23,6478.16,Current,0,1,Low,Upper-Mid,6-10,36,36,credit_card,A,A5,RENT,Source Verified,9.61,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,17450.0,13.58,402.25,16828.69,Current,0,0,Medium,Lower-Mid,1-2,60,60,debt_consolidation,C,C2,RENT,Source Verified,24.39,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,30000.0,16.01,729.71,29336.68,Current,0,0,Medium,High,6-10,60,60,debt_consolidation,C,C5,MORTGAGE,Source Verified,5.16,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,15000.0,22.91,579.95,13791.64,Current,1,0,High,High,6-10,36,36,debt_consolidation,E,E1,OWN,Verified,28.53,4.1,0.45346899748655,1.4175
2018-01-01,20000.0,7.97,626.46,17499.09,Current,0,0,Low,Lower-Mid,3-5,36,36,debt_consolidation,A,A5,RENT,Not Verified,20.74,4.0,0.5447745452775409,1.414516129032258
2018-01-01,15000.0,18.06,381.4,14197.97,Current,1,1,High,Lower-Mid,,60,60,debt_consolidation,D,D2,RENT,Not Verified,12.22,4.0,0.5447745452775409,1.414516129032258
2018-01-01,12000.0,6.08,365.5,10771.9,Current,0,0,Low,High,3-5,36,36,debt_consolidation,A,A2,MORTGAGE,Not Verified,15.84,4.0,0.5447745452775409,1.414516129032258
2018-02-01,16500.0,5.32,496.9,14793.69,Current,0,0,Low,High,6-10,36,36,debt_consolidation,A,A1,RENT,Source Verified,3.82,4.1,0.45346899748655,1.4175
2018-02-01,19200.0,5.32,578.21,17214.48,Current,0,1,Low,Upper-Mid,6-10,36,36,debt_consolidation,A,A1,MORTGAGE,Not Verified,15.48,4.1,0.45346899748655,1.4175
2018-01-01,7050.0,9.93,227.26,6191.3,Current,0,0,Low,Upper-Mid,6-10,36,36,major_purchase,B,B2,MORTGAGE,Source Verified,14.16,4.0,0.5447745452775409,1.414516129032258
2018-02-01,15000.0,20.0,397.41,14395.45,Current,1,1,High,Low,6-10,60,60,credit_card,D,D4,MORTGAGE,Verified,49.58,4.1,0.45346899748655,1.4175
2018-02-01,11200.0,15.05,388.53,10188.92,Current,0,0,Medium,Upper-Mid,6-10,36,36,debt_consolidation,C,C4,OWN,Not Verified,13.27,4.1,0.45346899748655,1.4175
2018-03-01,8000.0,7.96,250.55,7403.61,Current,0,0,Low,Lower-Mid,3-5,36,36,debt_consolidation,A,A5,RENT,Source Verified,16.72,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,20000.0,26.77,607.97,19503.68,Current,1,1,High,High,0 or less,60,60,debt_consolidation,E,E5,MORTGAGE,Source Verified,18.5,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,10800.0,9.44,226.51,10081.03,Current,0,1,Low,High,3-5,60,60,home_improvement,B,B1,MORTGAGE,Not Verified,15.28,4.0,0.5447745452775409,1.414516129032258
2018-02-01,7200.0,13.59,244.65,6536.39,Current,0,0,Medium,Lower-Mid,6-10,36,36,debt_consolidation,C,C2,MORTGAGE,Not Verified,19.05,4.1,0.45346899748655,1.4175
2018-03-01,12000.0,15.04,416.22,11192.5,Current,0,0,Medium,Low,1-2,36,36,debt_consolidation,C,C4,RENT,Source Verified,26.96,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,20000.0,5.31,602.21,18452.04,Current,0,0,Low,Upper-Mid,1-2,36,36,credit_card,A,A1,MORTGAGE,Not Verified,21.63,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,7200.0,14.08,246.36,0.0,Fully Paid,0,0,Medium,Low,1-2,36,36,home_improvement,C,C3,MORTGAGE,Verified,24.77,4.1,0.45346899748655,1.4175
2018-01-01,6000.0,13.59,203.88,5304.78,Current,0,0,Medium,Lower-Mid,1-2,36,36,small_business,C,C2,RENT,Source Verified,18.36,4.0,0.5447745452775409,1.414516129032258
2018-02-01,5000.0,7.97,156.62,4501.41,Current,0,0,Low,Lower-Mid,6-10,36,36,debt_consolidation,A,A5,RENT,Not Verified,18.92,4.1,0.45346899748655,1.4175
2018-01-01,16000.0,9.93,339.41,14947.68,Current,0,0,Low,Lower-Mid,1-2,60,60,debt_consolidation,B,B2,RENT,Source Verified,14.66,4.0,0.5447745452775409,1.414516129032258
2018-01-01,15600.0,6.08,475.15,13599.28,Current,0,0,Low,Lower-Mid,6-10,36,36,debt_consolidation,A,A2,MORTGAGE,Source Verified,29.58,4.0,0.5447745452775409,1.414516129032258
2018-02-01,10000.0,21.85,275.34,9715.1,Current,1,0,High,Low,,60,60,debt_consolidation,D,D5,RENT,Not Verified,37.83,4.1,0.45346899748655,1.4175
2018-02-01,10000.0,10.42,324.65,9036.27,Current,0,0,Low,Upper-Mid,3-5,36,36,moving,B,B3,RENT,Source Verified,13.49,4.1,0.45346899748655,1.4175
2018-03-01,30000.0,17.47,1076.62,28052.31,Current,1,0,High,Lower-Mid,0 or less,36,36,debt_consolidation,D,D1,MORTGAGE,Source Verified,29.36,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,30000.0,10.9,980.75,28577.07,Current,0,0,Low,High,3-5,36,36,debt_consolidation,B,B4,RENT,Source Verified,1.12,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,16000.0,6.08,487.34,13947.94,Current,0,0,Low,Lower-Mid,6-10,36,36,credit_card,A,A2,MORTGAGE,Not Verified,18.67,4.0,0.5447745452775409,1.414516129032258
2018-03-01,20000.0,12.61,670.13,18605.56,Current,0,1,Medium,Low,6-10,36,36,credit_card,C,C1,RENT,Not Verified,25.23,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,6275.0,23.87,245.76,5776.61,Current,1,0,High,Low,,36,36,debt_consolidation,E,E2,MORTGAGE,Verified,27.56,4.1,0.45346899748655,1.4175
2018-02-01,15000.0,18.06,542.74,13703.13,Current,1,0,High,Lower-Mid,3-5,36,36,credit_card,D,D2,OWN,Verified,26.88,4.1,0.45346899748655,1.4175
2018-01-01,16000.0,13.59,368.9,15040.0,Current,0,0,Medium,High,6-10,60,60,debt_consolidation,C,C2,MORTGAGE,Source Verified,21.45,4.0,0.5447745452775409,1.414516129032258
2018-02-01,10000.0,16.02,351.67,9336.71,In Grace Period,0,1,Medium,Lower-Mid,3-5,36,36,debt_consolidation,C,C5,MORTGAGE,Source Verified,15.3,4.1,0.45346899748655,1.4175
2018-02-01,25000.0,9.93,805.86,22574.16,Current,0,0,Low,High,6-10,36,36,major_purchase,B,B2,MORTGAGE,Verified,16.13,4.1,0.45346899748655,1.4175
2018-03-01,12000.0,9.92,386.76,11130.17,Current,0,0,Low,Low,1-2,36,36,car,B,B2,RENT,Source Verified,2.91,4.0,0.2261125904149038,1.5061290322580645
2018-01-01,6000.0,7.35,186.23,5243.39,Current,0,0,Low,Low,3-5,36,36,credit_card,A,A4,RENT,Not Verified,18.55,4.0,0.5447745452775409,1.414516129032258
2018-02-01,12000.0,10.91,392.36,10851.41,Current,0,0,Low,High,6-10,36,36,debt_consolidation,B,B4,OWN,Source Verified,9.19,4.1,0.45346899748655,1.4175
2018-02-01,10000.0,13.59,230.57,9522.69,Current,0,0,Medium,Upper-Mid,3-5,60,60,house,C,C2,MORTGAGE,Source Verified,8.46,4.1,0.45346899748655,1.4175
2018-03-01,20000.0,14.07,684.24,18634.9,Current,0,1,Medium,Low,0 or less,36,36,debt_consolidation,C,C3,MORTGAGE,Source Verified,9.8,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,8500.0,7.34,263.78,7860.74,Current,0,1,Low,High,1-2,36,36,credit_card,A,A4,RENT,Not Verified,11.62,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,36000.0,15.05,857.39,34345.64,Current,0,0,Medium,High,6-10,60,60,home_improvement,C,C4,OWN,Verified,24.31,4.1,0.45346899748655,1.4175
2018-02-01,40000.0,6.72,1229.97,35942.19,Current,0,0,Low,High,6-10,36,36,debt_consolidation,A,A3,RENT,Verified,14.66,4.1,0.45346899748655,1.4175
2018-03-01,9000.0,16.01,316.46,8402.95,Current,0,0,Medium,Upper-Mid,3-5,36,36,debt_consolidation,C,C5,MORTGAGE,Source Verified,22.73,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,7200.0,7.34,223.44,6840.1,Current,0,0,Low,Low,6-10,36,36,debt_consolidation,A,A4,RENT,Not Verified,9.91,4.0,0.2261125904149038,1.5061290322580645
2018-02-01,6100.0,23.88,238.94,5615.58,Current,1,1,High,Low,3-5,36,36,debt_consolidation,E,E2,RENT,Not Verified,29.47,4.1,0.45346899748655,1.4175
2018-01-01,2250.0,15.05,78.06,1927.12,Current,0,0,Medium,Low,,36,36,other,C,C4,OWN,Not Verified,27.68,4.0,0.5447745452775409,1.414516129032258
2018-02-01,10000.0,6.72,307.5,8985.52,Current,0,0,Low,Low,6-10,36,36,debt_consolidation,A,A3,OWN,Not Verified,4.25,4.1,0.45346899748655,1.4175
2018-02-01,25000.0,21.45,947.67,22942.47,Current,1,0,High,Low,1-2,36,36,debt_consolidation,D,D5,OWN,Source Verified,16.97,4.1,0.45346899748655,1.4175
2018-02-01,16000.0,25.82,477.35,0.0,Fully Paid,1,1,High,Low,6-10,60,60,debt_consolidation,E,E4,MORTGAGE,Verified,19.44,4.1,0.45346899748655,1.4175
2018-01-01,32000.0,14.08,745.92,29785.98,Current,0,0,Medium,High,1-2,60,60,credit_card,C,C3,RENT,Not Verified,6.06,4.0,0.5447745452775409,1.414516129032258
2018-02-01,12000.0,15.05,416.28,0.0,Fully Paid,0,1,Medium,Lower-Mid,3-5,36,36,credit_card,C,C4,RENT,Verified,17.25,4.1,0.45346899748655,1.4175
2018-01-01,10000.0,9.44,320.05,9023.01,Current,0,0,Low,Low,6-10,36,36,debt_consolidation,B,B1,RENT,Not Verified,23.33,4.0,0.5447745452775409,1.414516129032258
2018-02-01,2200.0,17.09,78.54,2007.09,Current,1,0,High,Low,1-2,36,36,debt_consolidation,D,D1,MORTGAGE,Verified,33.19,4.1,0.45346899748655,1.4175
2018-03-01,4800.0,16.01,168.78,4481.56,Current,0,0,Medium,Low,1-2,36,36,credit_card,C,C5,RENT,Not Verified,19.93,4.0,0.2261125904149038,1.5061290322580645
2018-03-01,35000.0,10.9,759.25,33663.94,Current,0,1,Low,Upper-Mid,6-10,60,60,home_improvement,B,B4,MORTGAGE,Source Verified,15.31,4.0,0.2261125904149038,1.5061290322580645
