loan_purpose,term,term_bucket,grade,sub_grade,disbursement_method,application_type,loan_product_id
debt_consolidation,36,36,B,B3,Cash,individual,133
debt_consolidation,60,60,D,D1,Cash,individual,134
credit_card,60,60,B,B4,DirectPay,individual,135
home_improvement,36,36,A,A1,Cash,individual,136
credit_card,60,60,B,B1,Cash,joint,137
debt_consolidation,36,36,B,B1,Cash,joint,138
debt_consolidation,36,36,C,C3,Cash,individual,139
small_business,60,60,C,C1,Cash,individual,140
house,60,60,B,B5,Cash,individual,141
credit_card,36,36,B,B2,Cash,joint,142
major_purchase,36,36,B,B5,Cash,individual,143
major_purchase,36,36,A,A3,Cash,individual,144
home_improvement,36,36,B,B4,Cash,individual,145
debt_consolidation,36,36,B,B1,DirectPay,individual,146
medical,36,36,A,A2,Cash,individual,147
major_purchase,60,60,D,D5,Cash,individual,148
debt_consolidation,60,60,B,B2,Cash,joint,149
other,60,60,D,D2,Cash,individual,150
debt_consolidation,36,36,B,B4,Cash,joint,151
credit_card,36,36,B,B4,Cash,joint,152
credit_card,36,36,B,B4,Cash,individual,153
credit_card,36,36,B,B2,Cash,individual,154
debt_consolidation,60,60,F,F3,Cash,individual,155
credit_card,36,36,B,B1,Cash,individual,156
debt_consolidation,36,36,A,A5,DirectPay,individual,157
credit_card,60,60,D,D5,Cash,individual,158
other,36,36,E,E1,Cash,individual,159
house,36,36,A,A3,Cash,individual,160
credit_card,36,36,D,D3,Cash,individual,161
vacation,36,36,B,B2,Cash,individual,162
debt_consolidation,36,36,B,B3,DirectPay,individual,163
credit_card,60,60,D,D5,Cash,joint,164
home_improvement,60,60,C,C5,Cash,individual,165
car,36,36,A,A3,Cash,individual,166
home_improvement,36,36,A,A5,Cash,individual,167
other,60,60,B,B4,Cash,individual,168
home_improvement,36,36,B,B1,Cash,individual,169
debt_consolidation,36,36,B,B4,DirectPay,individual,170
home_improvement,36,36,D,D3,Cash,joint,171
credit_card,60,60,B,B1,Cash,individual,172
debt_consolidation,60,60,A,A4,DirectPay,joint,173
major_purchase,36,36,C,C4,Cash,individual,174
credit_card,36,36,C,C3,Cash,individual,175
house,60,60,B,B2,Cash,individual,176
credit_card,36,36,D,D1,Cash,individual,177
other,36,36,A,A5,Cash,individual,178
home_improvement,36,36,B,B2,Cash,joint,179
credit_card,60,60,E,E4,Cash,individual,180
credit_card,36,36,C,C2,DirectPay,individual,181
home_improvement,60,60,B,B2,Cash,joint,182
credit_card,60,60,A,A3,DirectPay,individual,183
debt_consolidation,60,60,D,D1,DirectPay,individual,184
home_improvement,36,36,B,B2,Cash,individual,185
house,60,60,C,C4,Cash,individual,186
debt_consolidation,60,60,C,C4,Cash,joint,187
debt_consolidation,36,36,A,A3,DirectPay,individual,188
medical,36,36,A,A5,Cash,joint,189
credit_card,36,36,E,E1,Cash,individual,190
debt_consolidation,60,60,B,B4,DirectPay,individual,191
home_improvement,36,36,C,C4,Cash,individual,192
credit_card,36,36,B,B5,DirectPay,individual,193
debt_consolidation,36,36,D,D4,Cash,individual,194
home_improvement,60,60,C,C4,Cash,joint,195
debt_consolidation,36,36,C,C3,DirectPay,individual,196
vacation,60,60,C,C3,Cash,individual,197
credit_card,60,60,B,B5,DirectPay,individual,198
house,60,60,B,B3,Cash,individual,199
credit_card,60,60,A,A5,DirectPay,individual,200
debt_consolidation,36,36,B,B3,Cash,joint,201
debt_consolidation,36,36,A,A4,DirectPay,individual,202
vacation,36,36,D,D5,Cash,individual,203
other,60,60,E,E5,Cash,individual,204
vacation,36,36,B,B3,Cash,individual,205
credit_card,60,60,A,A4,DirectPay,individual,206
debt_consolidation,36,36,D,D1,DirectPay,individual,207
car,36,36,C,C2,Cash,individual,208
car,36,36,A,A2,Cash,individual,209
medical,36,36,B,B2,Cash,joint,210
debt_consolidation,36,36,B,B5,Cash,joint,211
debt_consolidation,60,60,D,D3,Cash,joint,212
car,36,36,B,B3,Cash,individual,213
debt_consolidation,60,60,E,E3,Cash,joint,214
debt_consolidation,60,60,D,D5,Cash,joint,215
small_business,36,36,D,D4,Cash,individual,216
other,60,60,C,C4,Cash,individual,217
home_improvement,60,60,D,D5,Cash,joint,218
medical,36,36,B,B1,Cash,individual,219
home_improvement,60,60,D,D5,Cash,individual,220
credit_card,36,36,B,B4,DirectPay,individual,221
credit_card,36,36,A,A2,Cash,joint,222
other,36,36,C,C2,Cash,individual,223
medical,36,36,A,A4,Cash,individual,224
debt_consolidation,36,36,E,E4,Cash,individual,225
home_improvement,36,36,D,D2,Cash,individual,226
debt_consolidation,36,36,D,D2,Cash,joint,227
debt_consolidation,60,60,F,F1,Cash,joint,228
credit_card,60,60,B,B2,DirectPay,individual,229
home_improvement,36,36,A,A5,Cash,joint,230
other,60,60,C,C3,Cash,individual,231
debt_consolidation,36,36,A,A5,Cash,joint,232
other,36,36,D,D5,Cash,individual,233
credit_card,60,60,B,B2,DirectPay,joint,234
moving,36,36,B,B4,Cash,individual,235
major_purchase,36,36,A,A4,Cash,individual,236
other,36,36,B,B4,Cash,individual,237
credit_card,36,36,E,E1,Cash,joint,238
debt_consolidation,60,60,C,C1,DirectPay,individual,239
renewable_energy,60,60,C,C4,Cash,individual,240
home_improvement,36,36,C,C5,Cash,individual,241
major_purchase,36,36,B,B3,Cash,individual,242
small_business,36,36,D,D3,Cash,individual,243
vacation,36,36,A,A2,Cash,individual,244
debt_consolidation,60,60,C,C1,Cash,joint,245
car,36,36,C,C3,Cash,individual,246
vacation,36,36,C,C4,Cash,individual,247
medical,60,60,B,B4,Cash,individual,248
credit_card,60,60,C,C5,Cash,joint,249
other,60,60,B,B5,Cash,individual,250
credit_card,60,60,C,C2,DirectPay,individual,251
other,36,36,A,A2,Cash,joint,252
debt_consolidation,60,60,B,B1,Cash,joint,253
credit_card,36,36,B,B3,DirectPay,individual,254
credit_card,60,60,B,B3,Cash,individual,255
credit_card,36,36,A,A3,Cash,joint,256
home_improvement,36,36,B,B3,Cash,individual,257
credit_card,36,36,B,B2,DirectPay,individual,258
major_purchase,60,60,C,C1,Cash,individual,259
car,60,60,D,D5,Cash,individual,260
home_improvement,60,60,B,B2,Cash,individual,261
other,36,36,B,B3,Cash,joint,262
debt_consolidation,60,60,B,B4,Cash,individual,263
house,36,36,A,A1,Cash,individual,264
moving,36,36,B,B2,Cash,joint,265
car,60,60,B,B4,Cash,individual,266
debt_consolidation,60,60,E,E2,Cash,individual,267
credit_card,36,36,B,B1,DirectPay,individual,268
credit_card,60,60,F,F1,Cash,individual,269
debt_consolidation,60,60,A,A4,Cash,individual,270
debt_consolidation,60,60,D,D2,Cash,joint,271
car,36,36,C,C5,Cash,individual,272
other,36,36,A,A5,Cash,joint,273
credit_card,60,60,D,D1,Cash,joint,274
debt_consolidation,60,60,C,C4,DirectPay,individual,275
home_improvement,60,60,B,B4,Cash,joint,276
small_business,36,36,B,B4,Cash,individual,277
home_improvement,60,60,E,E3,Cash,individual,278
major_purchase,36,36,A,A2,Cash,individual,279
major_purchase,60,60,B,B2,Cash,individual,280
medical,36,36,C,C3,Cash,individual,281
debt_consolidation,36,36,F,F5,Cash,individual,282
debt_consolidation,60,60,F,F2,Cash,individual,283
other,60,60,C,C2,Cash,joint,284
car,36,36,B,B5,Cash,individual,285
other,36,36,C,C4,Cash,individual,286
credit_card,36,36,A,A1,Cash,joint,287
debt_consolidation,60,60,B,B3,DirectPay,individual,288
credit_card,60,60,A,A1,DirectPay,individual,289
credit_card,36,36,A,A5,Cash,joint,290
home_improvement,36,36,B,B5,Cash,individual,291
house,36,36,C,C5,Cash,individual,292
debt_consolidation,60,60,B,B5,Cash,joint,293
other,60,60,C,C2,Cash,individual,294
debt_consolidation,60,60,B,B5,DirectPay,individual,295
other,36,36,D,D4,Cash,joint,296
small_business,60,60,E,E5,Cash,individual,297
credit_card,60,60,E,E3,Cash,individual,298
other,60,60,C,C5,Cash,individual,299
credit_card,60,60,D,D1,Cash,individual,300
debt_consolidation,36,36,C,C5,Cash,joint,301
small_business,36,36,A,A5,Cash,individual,302
credit_card,60,60,C,C4,Cash,joint,303
other,36,36,C,C3,Cash,individual,304
credit_card,36,36,D,D3,Cash,joint,305
other,60,60,B,B1,Cash,individual,306
debt_consolidation,36,36,C,C1,DirectPay,individual,307
debt_consolidation,60,60,C,C5,Cash,joint,308
credit_card,60,60,D,D2,Cash,joint,309
credit_card,60,60,B,B5,Cash,individual,310
debt_consolidation,60,60,B,B4,Cash,joint,311
medical,36,36,D,D4,Cash,individual,312
major_purchase,36,36,C,C5,Cash,individual,313
other,36,36,C,C1,Cash,joint,314
other,36,36,E,E2,Cash,individual,315
medical,36,36,C,C1,Cash,individual,316
medical,36,36,A,A3,Cash,individual,317
debt_consolidation,60,60,C,C2,Cash,joint,318
major_purchase,36,36,B,B1,Cash,individual,319
credit_card,36,36,B,B3,Cash,joint,320
home_improvement,36,36,B,B1,Cash,joint,321
other,36,36,B,B5,Cash,joint,322
credit_card,36,36,D,D5,Cash,individual,323
car,60,60,B,B4,Cash,joint,324
house,36,36,D,D4,Cash,individual,325
credit_card,60,60,B,B2,Cash,individual,326
major_purchase,36,36,D,D2,Cash,individual,327
major_purchase,36,36,A,A1,Cash,individual,328
debt_consolidation,36,36,D,D3,Cash,joint,329
debt_consolidation,36,36,E,E5,Cash,joint,330
home_improvement,36,36,C,C4,Cash,joint,331
other,36,36,B,B1,Cash,joint,332
vacation,60,60,D,D2,Cash,individual,333
debt_consolidation,36,36,E,E3,Cash,individual,334
debt_consolidation,36,36,D,D4,Cash,joint,335
credit_card,60,60,B,B4,Cash,joint,336
credit_card,60,60,C,C1,DirectPay,individual,337
major_purchase,60,60,D,D4,Cash,individual,338
home_improvement,60,60,C,C5,Cash,joint,339
moving,36,36,C,C5,Cash,individual,340
major_purchase,36,36,A,A5,Cash,individual,341
vacation,36,36,C,C1,Cash,individual,342
house,36,36,A,A5,Cash,individual,343
credit_card,36,36,C,C1,DirectPay,individual,344
debt_consolidation,60,60,E,E5,Cash,joint,345
medical,36,36,D,D5,Cash,individual,346
medical,36,36,B,B4,Cash,individual,347
home_improvement,60,60,F,F1,Cash,individual,348
credit_card,36,36,D,D5,Cash,joint,349
other,60,60,B,B3,Cash,individual,350
debt_consolidation,60,60,D,D4,Cash,joint,351
major_purchase,60,60,D,D2,Cash,individual,352
debt_consolidation,36,36,C,C2,DirectPay,individual,353
small_business,36,36,C,C4,Cash,individual,354
home_improvement,36,36,C,C3,Cash,joint,355
debt_consolidation,36,36,A,A2,DirectPay,individual,356
other,60,60,E,E4,Cash,individual,357
medical,36,36,C,C4,Cash,joint,358
credit_card,36,36,D,D2,DirectPay,individual,359
debt_consolidation,36,36,C,C4,DirectPay,individual,360
small_business,60,60,B,B3,Cash,joint,361
home_improvement,60,60,B,B5,Cash,individual,362
house,36,36,B,B3,Cash,individual,363
credit_card,60,60,C,C3,Cash,joint,364
major_purchase,60,60,B,B4,Cash,individual,365
debt_consolidation,60,60,A,A2,DirectPay,individual,366
moving,36,36,B,B5,Cash,individual,367
home_improvement,60,60,D,D1,Cash,joint,368
major_purchase,60,60,D,D1,Cash,individual,369
major_purchase,36,36,B,B1,Cash,joint,370
debt_consolidation,36,36,D,D2,DirectPay,joint,371
moving,60,60,B,B2,Cash,joint,372
credit_card,60,60,B,B4,Cash,individual,373
major_purchase,36,36,D,D4,Cash,joint,374
credit_card,36,36,E,E3,Cash,individual,375
credit_card,36,36,D,D1,DirectPay,individual,376
other,36,36,D,D4,Cash,individual,377
small_business,60,60,C,C1,Cash,joint,378
house,60,60,C,C1,Cash,individual,379
home_improvement,60,60,D,D1,Cash,individual,380
medical,36,36,C,C4,Cash,individual,381
vacation,36,36,B,B3,Cash,joint,382
home_improvement,36,36,A,A2,Cash,joint,383
debt_consolidation,36,36,A,A4,DirectPay,joint,384
medical,60,60,B,B1,Cash,individual,385
small_business,36,36,A,A1,Cash,joint,386
home_improvement,36,36,A,A4,Cash,individual,387
debt_consolidation,60,60,A,A4,Cash,joint,388
medical,36,36,C,C2,Cash,individual,389
credit_card,60,60,B,B5,Cash,joint,390
medical,36,36,D,D3,Cash,individual,391
small_business,36,36,C,C3,Cash,individual,392
credit_card,36,36,B,B1,Cash,joint,393
small_business,36,36,C,C5,Cash,joint,394
debt_consolidation,36,36,D,D5,Cash,joint,395
major_purchase,36,36,C,C2,Cash,joint,396
debt_consolidation,60,60,B,B3,DirectPay,joint,397
medical,36,36,B,B2,Cash,individual,398
debt_consolidation,60,60,E,E3,Cash,individual,399
debt_consolidation,60,60,A,A5,DirectPay,individual,400
debt_consolidation,60,60,B,B3,Cash,joint,401
debt_consolidation,36,36,A,A1,Cash,joint,402
medical,36,36,C,C5,Cash,joint,403
home_improvement,60,60,C,C2,Cash,individual,404
medical,36,36,C,C5,Cash,individual,405
major_purchase,36,36,D,D1,Cash,individual,406
other,36,36,B,B1,Cash,individual,407
moving,36,36,C,C3,Cash,individual,408
moving,36,36,A,A2,Cash,individual,409
vacation,36,36,A,A4,Cash,individual,410
debt_consolidation,60,60,F,F4,Cash,individual,411
small_business,36,36,B,B5,Cash,individual,412
vacation,36,36,B,B4,Cash,individual,413
home_improvement,36,36,C,C1,Cash,joint,414
debt_consolidation,36,36,B,B3,DirectPay,joint,415
house,36,36,B,B4,Cash,individual,416
home_improvement,36,36,B,B5,Cash,joint,417
credit_card,60,60,B,B4,DirectPay,joint,418
credit_card,36,36,D,D4,Cash,joint,419
major_purchase,60,60,C,C5,Cash,individual,420
house,36,36,B,B2,Cash,individual,421
credit_card,60,60,A,A2,DirectPay,individual,422
home_improvement,60,60,C,C3,Cash,individual,423
credit_card,36,36,E,E2,Cash,individual,424
major_purchase,36,36,B,B4,Cash,individual,425
renewable_energy,60,60,E,E5,Cash,individual,426
debt_consolidation,60,60,E,E4,Cash,joint,427
debt_consolidation,60,60,C,C1,DirectPay,joint,428
other,60,60,B,B1,Cash,joint,429
credit_card,60,60,D,D2,Cash,individual,430
credit_card,60,60,E,E2,Cash,individual,431
other,36,36,A,A3,Cash,joint,432
debt_consolidation,60,60,C,C3,DirectPay,individual,433
debt_consolidation,36,36,B,B1,DirectPay,joint,434
debt_consolidation,36,36,B,B5,DirectPay,individual,435
credit_card,36,36,C,C3,DirectPay,individual,436
credit_card,60,60,B,B3,DirectPay,individual,437
house,60,60,B,B1,Cash,individual,438
debt_consolidation,60,60,B,B1,DirectPay,individual,439
credit_card,60,60,G,G1,Cash,individual,440
moving,60,60,B,B1,Cash,individual,441
other,60,60,A,A4,Cash,joint,442
debt_consolidation,60,60,E,E2,Cash,joint,443
debt_consolidation,60,60,C,C2,DirectPay,individual,444
vacation,36,36,A,A5,Cash,individual,445
other,36,36,A,A4,Cash,joint,446
credit_card,60,60,B,B3,Cash,joint,447
other,36,36,D,D2,Cash,individual,448
major_purchase,60,60,E,E3,Cash,individual,449
major_purchase,36,36,C,C3,Cash,individual,450
small_business,60,60,B,B1,Cash,individual,451
moving,36,36,D,D2,Cash,individual,452
other,60,60,E,E2,Cash,individual,453
major_purchase,60,60,B,B5,Cash,individual,454
debt_consolidation,60,60,C,C4,DirectPay,joint,455
medical,36,36,C,C3,Cash,joint,456
credit_card,60,60,D,D4,Cash,individual,457
debt_consolidation,36,36,C,C2,DirectPay,joint,458
major_purchase,60,60,B,B1,Cash,individual,459
credit_card,60,60,A,A4,Cash,individual,460
major_purchase,60,60,C,C3,Cash,individual,461
debt_consolidation,60,60,A,A3,DirectPay,individual,462
credit_card,36,36,A,A5,DirectPay,joint,463
home_improvement,36,36,C,C5,Cash,joint,464
moving,60,60,C,C4,Cash,joint,465
medical,36,36,B,B5,Cash,joint,466
credit_card,36,36,D,D4,Cash,individual,467
credit_card,60,60,A,A4,Cash,joint,468
major_purchase,36,36,D,D3,Cash,individual,469
debt_consolidation,36,36,D,D3,DirectPay,individual,470
credit_card,36,36,D,D1,Cash,joint,471
house,36,36,B,B1,Cash,individual,472
debt_consolidation,60,60,B,B2,DirectPay,individual,473
home_improvement,60,60,A,A4,Cash,individual,474
credit_card,36,36,C,C5,Cash,joint,475
other,60,60,C,C3,Cash,joint,476
home_improvement,60,60,B,B3,Cash,joint,477
other,60,60,B,B3,Cash,joint,478
credit_card,60,60,C,C1,Cash,joint,479
debt_consolidation,36,36,C,C5,DirectPay,individual,480
house,60,60,C,C5,Cash,individual,481
renewable_energy,60,60,C,C1,Cash,individual,482
small_business,36,36,A,A1,Cash,individual,483
other,36,36,B,B2,Cash,joint,484
small_business,36,36,C,C3,Cash,joint,485
house,60,60,C,C3,Cash,individual,486
debt_consolidation,36,36,B,B2,DirectPay,individual,487
small_business,36,36,B,B3,Cash,individual,488
car,36,36,B,B4,Cash,individual,489
other,60,60,F,F1,Cash,individual,490
credit_card,36,36,C,C2,Cash,joint,491
major_purchase,36,36,C,C4,Cash,joint,492
other,36,36,A,A5,DirectPay,individual,493
debt_consolidation,36,36,E,E1,Cash,joint,494
house,60,60,B,B4,Cash,individual,495
car,36,36,A,A5,Cash,individual,496
home_improvement,36,36,D,D1,Cash,individual,497
car,36,36,D,D4,Cash,individual,498
moving,36,36,B,B2,Cash,individual,499
home_improvement,36,36,D,D3,Cash,individual,500
moving,36,36,B,B4,Cash,joint,501
debt_consolidation,36,36,D,D5,DirectPay,individual,502
medical,60,60,C,C3,Cash,individual,503
credit_card,60,60,B,B2,Cash,joint,504
credit_card,60,60,C,C1,DirectPay,joint,505
car,36,36,B,B1,Cash,individual,506
credit_card,36,36,E,E4,Cash,individual,507
car,36,36,A,A4,Cash,individual,508
renewable_energy,36,36,B,B5,Cash,individual,509
other,60,60,B,B4,Cash,joint,510
other,60,60,E,E3,Cash,individual,511
major_purchase,60,60,E,E5,Cash,joint,512
credit_card,36,36,C,C4,DirectPay,individual,513
credit_card,36,36,C,C4,Cash,joint,514
major_purchase,60,60,C,C2,Cash,individual,515
house,60,60,E,E2,Cash,individual,516
moving,36,36,A,A5,Cash,individual,517
small_business,36,36,A,A4,Cash,individual,518
home_improvement,60,60,D,D3,Cash,individual,519
home_improvement,60,60,C,C1,Cash,joint,520
major_purchase,36,36,C,C1,Cash,individual,521
medical,36,36,A,A3,Cash,joint,522
major_purchase,36,36,A,A1,Cash,joint,523
medical,60,60,C,C4,Cash,individual,524
credit_card,36,36,A,A4,Cash,joint,525
small_business,36,36,B,B5,Cash,joint,526
home_improvement,36,36,A,A3,Cash,joint,527
vacation,36,36,C,C2,Cash,individual,528
moving,36,36,E,E1,Cash,individual,529
credit_card,60,60,C,C5,DirectPay,individual,530
moving,60,60,D,D3,Cash,individual,531
other,60,60,A,A4,Cash,individual,532
home_improvement,60,60,D,D4,Cash,individual,533
major_purchase,36,36,B,B4,Cash,joint,534
moving,36,36,A,A4,Cash,individual,535
vacation,36,36,C,C5,Cash,joint,536
small_business,36,36,D,D1,Cash,individual,537
other,36,36,C,C2,Cash,joint,538
debt_consolidation,60,60,A,A4,DirectPay,individual,539
small_business,36,36,B,B2,Cash,individual,540
vacation,36,36,D,D5,Cash,joint,541
car,36,36,A,A1,Cash,individual,542
moving,36,36,D,D5,Cash,joint,543
major_purchase,36,36,D,D4,Cash,individual,544
major_purchase,36,36,D,D2,Cash,joint,545
small_business,36,36,A,A3,Cash,individual,546
moving,36,36,D,D4,Cash,individual,547
major_purchase,36,36,C,C2,Cash,individual,548
small_business,60,60,A,A4,Cash,joint,549
car,36,36,C,C4,Cash,joint,550
credit_card,60,60,E,E5,Cash,individual,551
moving,60,60,E,E2,Cash,individual,552
other,36,36,B,B4,Cash,joint,553
small_business,36,36,C,C5,Cash,individual,554
medical,36,36,A,A1,Cash,joint,555
debt_consolidation,60,60,E,E1,DirectPay,individual,556
small_business,36,36,E,E5,Cash,individual,557
credit_card,60,60,C,C4,DirectPay,individual,558
debt_consolidation,60,60,F,F5,Cash,joint,559
house,36,36,C,C2,Cash,individual,560
other,60,60,B,B2,Cash,joint,561
vacation,36,36,D,D2,Cash,joint,562
car,60,60,E,E5,Cash,individual,563
moving,36,36,A,A3,Cash,joint,564
credit_card,36,36,A,A1,DirectPay,joint,565
medical,60,60,C,C1,Cash,individual,566
other,60,60,D,D3,Cash,individual,567
moving,36,36,C,C1,Cash,individual,568
house,36,36,C,C5,Cash,joint,569
debt_consolidation,60,60,E,E2,DirectPay,individual,570
home_improvement,36,36,D,D2,Cash,joint,571
small_business,36,36,B,B1,Cash,individual,572
car,36,36,B,B3,Cash,joint,573
small_business,60,60,E,E4,Cash,individual,574
other,36,36,D,D2,Cash,joint,575
major_purchase,36,36,C,C1,Cash,joint,576
home_improvement,60,60,B,B1,Cash,joint,577
major_purchase,36,36,A,A5,Cash,joint,578
debt_consolidation,60,60,F,F3,Cash,joint,579
home_improvement,60,60,D,D1,DirectPay,individual,580
other,36,36,E,E3,Cash,joint,581
debt_consolidation,36,36,E,E5,Cash,individual,582
small_business,60,60,E,E4,Cash,joint,583
home_improvement,36,36,D,D5,Cash,individual,584
vacation,36,36,B,B5,Cash,joint,585
car,36,36,A,A3,Cash,joint,586
home_improvement,36,36,A,A4,Cash,joint,587
home_improvement,60,60,E,E5,Cash,joint,588
small_business,60,60,B,B5,Cash,individual,589
house,36,36,D,D1,Cash,individual,590
home_improvement,36,36,A,A1,Cash,joint,591
other,60,60,C,C4,Cash,joint,592
other,36,36,B,B3,DirectPay,individual,593
house,36,36,G,G4,Cash,individual,594
moving,36,36,B,B1,Cash,individual,595
debt_consolidation,36,36,A,A1,DirectPay,joint,596
